play_number,quarter,start_time,end_time,home,away,participating_players
1,1,15:00,15:00,Alabama,LSU,"['4: Christopher Allen or Jerry Jeudy', '2: Patrick Surtain or Keilan Robinson', '7: Trevon Diggs or Braxton Barker', '15: Xavier McKinney or Paul Tyson', '8: Christian Harris or John Metchie', '13: Tua Tagovailoa', '5: Shyheim Carter or Taulia Tagovailoa', '0: Unknown Player', '27: Joshua Robinson or Jerome Ford', '77: Matt Womack', '1: Ben Davis']"
2,1,14:57,14:48,Alabama,LSU,"['9: Jordan Battle or Xavier Williams', '2: Patrick Surtain or Keilan Robinson', '7: Trevon Diggs or Braxton Barker', '1: Ben Davis', '3: Daniel Wright', '54: Julian Lowenstein', '5: Shyheim Carter or Taulia Tagovailoa', '8: Christian Harris or John Metchie', '94: DJ Dale', '34: Unknown Player', ""35: Shane Lee or De'Marquise Lockridge""]"
3,1,14:37,13:59,Alabama,LSU,
4,1,13:59,13:17,Alabama,LSU,
5,1,12:53,12:46,Alabama,LSU,
6,1,12:18,11:59,Alabama,LSU,
7,1,11:59,11:53,Alabama,LSU,
8,1,11:39,11:24,Alabama,LSU,
9,1,11:08,10:59,Alabama,LSU,
10,1,10:59,10:09,Alabama,LSU,"['2: Patrick Surtain or Keilan Robinson', '7: Trevon Diggs or Braxton Barker', ""35: Shane Lee or De'Marquise Lockridge""]"
11,1,9:50,9:37,Alabama,LSU,
12,1,9:22,8:57,Alabama,LSU,['1: Ben Davis']
13,1,8:57,8:43,Alabama,LSU,['4: Christopher Allen or Jerry Jeudy']
14,1,8:16,8:05,Alabama,LSU,"['7: Trevon Diggs or Braxton Barker', '3: Daniel Wright', '55: William Cooper or Emil Ekiyor', '47: Byron Young', '1: Ben Davis', '9: Jordan Battle or Xavier Williams', '5: Shyheim Carter or Taulia Tagovailoa', '0: Unknown Player', '8: Christian Harris or John Metchie', '4: Christopher Allen or Jerry Jeudy', '63: Rowdy Garza']"
15,1,7:56,7:39,Alabama,LSU,
16,1,7:38,6:59,Alabama,LSU,
17,1,6:59,6:41,Alabama,LSU,
18,1,6:40,6:21,Alabama,LSU,
19,1,5:52,5:01,Alabama,LSU,
20,1,5:00,5:00,Alabama,LSU,
21,1,4:59,4:55,Alabama,LSU,
22,1,4:54,4:49,Alabama,LSU,
23,1,4:48,3:50,Alabama,LSU,
24,1,3:50,3:45,Alabama,LSU,
25,1,3:43,3:32,Alabama,LSU,
26,1,3:31,3:27,Alabama,LSU,
27,1,3:02,2:49,Alabama,LSU,
28,1,2:49,2:40,Alabama,LSU,
29,1,2:39,1:59,Alabama,LSU,
30,1,1:59,1:56,Alabama,LSU,
31,1,1:55,1:05,Alabama,LSU,
32,1,:48,:38,Alabama,LSU,
33,2,:26,15:00,Alabama,LSU,
34,2,15:00,14:59,Alabama,LSU,
35,2,14:59,14:19,Alabama,LSU,
36,2,14:05,13:59,Alabama,LSU,
37,2,13:59,13:51,Alabama,LSU,
38,2,13:50,13:29,Alabama,LSU,
39,2,13:12,12:59,Alabama,LSU,
40,2,12:59,12:53,Alabama,LSU,
41,2,12:25,12:09,Alabama,LSU,
42,2,11:54,11:32,Alabama,LSU,
43,2,11:27,10:44,Alabama,LSU,
44,2,10:44,10:29,Alabama,LSU,
45,2,10:28,9:58,Alabama,LSU,
